location,median_age,aged_65_older,gdp_per_capita,extreme_poverty,life_expectancy,human_development_index,happiness_score,Kmeans_clusters,Hr_predicted_clusters
Afghanistan,18.6,2.5810000000000004,1803.987,42.81785714285714,64.83,0.498,2.5669999999999997,0,1
Albania,38.0,13.187999999999999,11803.431,1.1,78.57,0.785,4.883,2,2
Algeria,29.1,6.211,13913.839,0.5,76.88,0.754,5.005,2,2
Andorra,30.9,8.696,44328.198822222235,0.6074074074074072,83.73,0.858,6.65964285714286,1,0
Angola,16.8,2.405,5819.495,16.845833333333335,61.15,0.581,5.051238095238095,3,3
Antigua and Barbuda,32.1,6.933,21490.943,2.3555555555555556,77.02,0.78,5.446964285714285,2,2
Argentina,31.9,11.198,18933.907,0.6,76.67,0.825,5.975,2,2
Armenia,35.7,11.232000000000001,8787.58,1.8,75.09,0.755,4.677,2,2
Australia,37.9,15.504000000000001,44648.71,0.5,83.44,0.9390000000000001,7.223,1,0
Austria,44.4,19.202,45436.685999999994,0.7,81.54,0.9079999999999999,7.294,1,0
Azerbaijan,32.4,6.018,15847.419,2.3555555555555556,73.0,0.757,5.165,2,2
Bahamas,34.3,8.996,27717.847,2.3555555555555556,73.92,0.807,5.446964285714285,2,2
Bahrain,32.4,2.372,43290.705,0.6074074074074072,77.29,0.846,6.227,2,0
Bangladesh,27.5,5.098,3523.9840000000004,14.8,72.59,0.608,4.833,3,3
Barbados,39.8,14.952,16978.068,2.3555555555555556,79.19,0.8,5.446964285714285,2,2
Belarus,40.3,14.799000000000001,17167.967,2.3555555555555556,74.79,0.8079999999999999,5.54,2,2
Belgium,41.8,18.570999999999998,42658.575999999994,0.2,81.63,0.9159999999999999,6.864,1,0
Belize,25.0,3.853,7824.361999999999,2.3555555555555556,74.62,0.708,5.446964285714285,3,2
Benin,18.8,3.2439999999999998,2064.236,49.6,61.77,0.515,5.216,0,1
Bhutan,28.6,4.885,8708.597,1.5,71.78,0.612,5.051238095238095,3,2
Bolivia,25.4,6.704,6885.829000000001,7.1,71.51,0.693,5.747000000000001,3,2
Bosnia and Herzegovina,42.5,16.569000000000003,11713.895,0.2,77.4,0.768,5.6739999999999995,2,2
Botswana,25.8,3.9410000000000003,15807.374,2.3555555555555556,69.59,0.7170000000000001,3.4789999999999996,3,3
Brazil,33.5,8.552,14103.452,3.4,75.88,0.759,6.376,2,2
Brunei,32.4,4.591,71809.25099999999,0.6074074074074072,75.86,0.853,6.65964285714286,1,0
Bulgaria,44.7,20.801,18563.307,1.5,75.05,0.813,5.102,2,0
Burkina Faso,17.6,2.4090000000000003,1703.102,43.7,61.58,0.423,4.769,0,1
Burundi,17.5,2.562,702.225,71.7,61.58,0.41700000000000004,3.775,0,1
Cambodia,25.6,4.412,3645.07,16.845833333333335,69.82,0.5820000000000001,4.848,3,3
Cameroon,18.8,3.165,3364.926,23.8,59.29,0.556,5.085,0,3
Canada,41.4,16.984,44017.59099999999,0.5,82.43,0.9259999999999999,7.232,1,0
Cape Verde,25.7,4.46,6222.554,16.845833333333335,72.98,0.654,5.051238095238095,3,3
